companyid;companyname;ticker;price;p_l;dy;p_vp;p_ebit;p_ativo;ev_ebit;margembruta;margemebit;margemliquida;p_sr;p_capitalgiro;p_ativocirculante;giroativos;roe;roa;roic;dividaliquidapatrimonioliquido;dividaliquidaebit;pl_ativo;passivo_ativo;liquidezcorrente;peg_ratio;receitas_cagr5;lucros_cagr5;liquidezmediadiaria;vpa;lpa;valormercado;segmentid;sectorid;subsectorid;subsectorname;segmentname;sectorname
272;UNICASA INDÚSTRIA DE MÓVEIS S.A.;UCAS3;2,71;13,15;;0,91;20,08;0,59;17,87;34,76;4,03;6,15;0,81;31,88;-0,86;0,73;6,91;4,47;4,06;-0,1;-2,2;0,65;0,35;1,06;-0,21;9,24;;151327,32;2,98;0,21;179094046,44;36;2,0;14,0;Utilidades Domésticas;Móveis;Consumo Cíclico
411;ULTRAPAR PARTICIPACOES S.A.;UGPA3;27,21;14,07;1,28;2,4;7,28;0,84;9,12;6,77;3,25;1,68;0,24;3,76;-1,66;3,53;17,03;5,94;12,14;0,6;1,83;0,35;0,64;1,81;0,24;12,42;6,56;131250096,74;11,39;1,94;30434148852,1;76;6,0;35,0;Petróleo. Gás e Biocombustíveis;Exploração. Refino e Distribuição;Petróleo. Gás e Biocombustíveis
390;UNIPAR CARBOCLORO S.A.;UNIP3;67,02;8,98;4,72;2,48;5,88;1,12;5,96;35,74;20,79;13,63;1,22;5,47;-1,96;0,92;27,61;12,51;15,5;-0,09;-0,22;0,45;0,54;1,92;-0,15;19,21;20,7;1065991,0;27,04;7,47;7313806216,27;71;5,0;33,0;Químicos;Químicos Diversos;Materiais Básicos
390;UNIPAR CARBOCLORO S.A.;UNIP5;77,51;10,38;4,58;2,87;6,81;1,3;5,96;35,74;20,79;13,63;1,42;6,33;-2,27;0,92;27,61;12,51;15,5;-0,09;-0,22;0,45;0,54;1,92;-0,18;19,21;20,7;21630,5;27,04;7,47;7313806216,27;71;5,0;33,0;Químicos;Químicos Diversos;Materiais Básicos
390;UNIPAR CARBOCLORO S.A.;UNIP6;72,23;9,68;4,82;2,67;6,34;1,21;5,96;35,74;20,79;13,63;1,32;5,9;-2,11;0,92;27,61;12,51;15,5;-0,09;-0,22;0,45;0,54;1,92;-0,17;19,21;20,7;12650759,71;27,04;7,47;7313806216,27;71;5,0;33,0;Químicos;Químicos Diversos;Materiais Básicos
400;USINAS SID DE MINAS GERAIS S.A.;USIM3;8,0;-27,64;3,74;0,43;-16,81;0,25;-17,8;8,47;-2,09;-1,27;0,35;0,75;-0,47;0,71;-1,55;-0,9;-2,06;0,01;-0,58;0,58;0,35;3,43;0,26;24,78;;6866838,61;18,71;-0,29;10265672970,56;74;5,0;34,0;Siderurgia e Metalurgia;Siderurgia;Materiais Básicos
400;USINAS SID DE MINAS GERAIS S.A.;USIM5;8,47;-29,16;3,9;0,45;-17,73;0,26;-17,8;8,47;-2,09;-1,27;0,37;0,79;-0,5;0,71;-1,55;-0,9;-2,06;0,01;-0,58;0,58;0,35;3,43;0,27;24,78;;82781813,19;18,71;-0,29;10265672970,56;74;5,0;34,0;Siderurgia e Metalurgia;Siderurgia;Materiais Básicos
400;USINAS SID DE MINAS GERAIS S.A.;USIM6;16,28;-56,25;2,02;0,87;-34,2;0,51;-17,8;8,47;-2,09;-1,27;0,72;1,52;-0,96;0,71;-1,55;-0,9;-2,06;0,01;-0,58;0,58;0,35;3,43;0,52;24,78;;2839,17;18,71;-0,29;10265672970,56;74;5,0;34,0;Siderurgia e Metalurgia;Siderurgia;Materiais Básicos
384;VALE S.A.;VALE3;70,05;6,68;8,7;1,67;4,95;0,71;5,73;40,12;31,07;23,03;1,54;61,57;-0,85;0,46;24,99;10,66;21,26;0,26;0,78;0,43;0,56;1,08;-0,12;15,85;21,94;1458996720,23;41,9;10,47;317185849690,4;67;5,0;32,0;Mineração;Minerais Metálicos;Materiais Básicos
672;VAMOS LOCAÇÃO DE CAMINHÕES. MÁQUINAS E EQUIP. S.A.;VAMO3;8,88;15,29;3,76;2,02;4,78;0,51;9,01;44,4;34,31;10,72;1,64;3,48;-0,72;0,31;13,24;3,36;13,27;1,79;4,23;0,25;0,75;2,03;0,72;64,03;51,58;65252615,9;4,42;0,58;9872661646,86;7;1,0;3,0;Máquinas e Equipamentos;Máq. e Equip. Construção e Agrícolas;Bens Industriais
407;VIBRA ENERGIA S.A.;VBBR3;22,03;12,62;1,95;1,9;6,33;0,63;8,68;4,58;2,47;1,24;0,16;2,03;-1,37;4,01;15,01;4,97;11,75;0,71;2,36;0,33;0,67;2,31;6,46;16,5;12,07;235177988,9;11,64;1,75;25688250000,0;76;6,0;35,0;Petróleo. Gás e Biocombustíveis;Exploração. Refino e Distribuição;Petróleo. Gás e Biocombustíveis
803;VITTIA FERTILIZANTES E BIOLOGICOS S.A.;VITT3;9,02;12,07;1,05;2,08;11,4;1,41;12,58;37,83;15,21;14,38;1,73;3,59;-3,76;0,81;17,27;11,65;13,41;0,22;1,18;0,67;0,33;2,67;-0,48;;;2205248,81;4,32;0,75;1288872454,07;69;5,0;33,0;Químicos;Fertilizantes e Defensivos;Materiais Básicos
520;VIVARA PARTICIPAÇOES S.A;VIVA3;35,09;21,67;1,03;4,42;18,77;2,74;18,92;69,55;21,53;18,65;4,04;7,17;-6,44;0,68;20,4;12,67;19,88;0,04;0,15;0,62;0,38;3,01;1,36;;;77162965,9;7,95;1,62;8295265647,28;31;2,0;13,0;Tecidos. Vestuário e Calçados;Acessórios;Consumo Cíclico
244;VIVER INCORPORADORA E CONSTRUTORA S.A.;VIVR3;5,09;-1,35;;6,96;-1,34;0,46;-1,29;24,2;-125,27;-123,97;1,68;22,68;-0,88;0,27;-514,44;-33,76;-264,18;-0,28;0,05;0,07;0,93;1,04;-0,01;83,05;;1990913,87;0,73;-3,76;139195359,61;23;2,0;9,0;Construção Civil;Incorporações;Consumo Cíclico
438;TELEFÔNICA BRASIL S.A;VIVT3;50,69;17,2;4,06;1,21;11,2;0,7;12,96;42,85;14,76;9,61;1,65;-51,01;-0,83;0,42;7,03;4,06;7,74;0,19;1,76;0,58;0,42;0,92;-1,57;2,14;1,12;97114008,77;41,92;2,95;83786229852,0;83;9,0;42,0;Telecomunicações;Telecomunicações;Comunicações
438;TELEFÔNICA BRASIL S.A;VIVT4;45,34;15,38;;1,08;10,02;0,62;12,96;42,85;14,76;9,61;1,48;-45,62;-0,74;0,42;7,03;4,06;7,74;0,19;1,76;0,58;0,42;0,92;-1,41;2,14;1,12;;41,92;2,95;83786229852,0;83;9,0;42,0;Telecomunicações;Telecomunicações;Comunicações
176;VALID SOLUÇÕES S.A.;VLID3;20,05;8,08;3,25;1,2;4,31;0,61;5,05;38,84;19,36;10,32;0,83;2,43;-1,23;0,73;14,9;7,56;14,76;0,21;0,74;0,51;0,48;2,0;0,01;3,6;48,87;10665908,35;16,6;2,47;1636727500,0;12;1,0;5,0;Serviços;Serviços Diversos;Bens Industriais
205;FERROVIA CENTRO-ATLANTICA S.A.;VSPT3;4,99;-0,32;;0,37;-0,49;0,11;-1,03;7,78;-44,27;-67,63;0,22;-2,01;-0,13;0,5;-116,54;-33,96;-62,87;0,41;-0,54;0,29;0,71;0,75;0,0;7,49;;;13,44;-15,66;712610842,16;16;1,0;6,0;Transporte;Transporte Ferroviário;Bens Industriais
205;FERROVIA CENTRO-ATLANTICA S.A.;VSPT4;0,0;0,0;;0,0;0,0;0,0;-1,03;7,78;-44,27;-67,63;0,0;0,0;0,0;0,5;-116,54;-33,96;-62,87;0,41;-0,54;0,29;0,71;0,75;0,0;7,49;;;13,44;-15,66;712610842,16;16;1,0;6,0;Transporte;Transporte Ferroviário;Bens Industriais
226;VESTE S.A. ESTILO;VSTE3;18,8;8,97;0,62;2,07;10,12;1,27;11,36;64,99;19,07;21,51;1,93;11,98;-1,87;0,66;23,13;14,12;7,46;0,25;1,24;0,61;0,39;1,48;-0,07;-3,13;-10,77;815987,5;9,07;2,1;2132426171,2;22;2,0;8,0;Comércio;Tecidos. Vestuário e Calçados;Consumo Cíclico
485;VULCABRAS/AZALEIA S.A.;VULC3;19,15;8,37;4,08;2,38;8,68;1,69;8,7;40,55;19,67;20,41;1,71;3,12;-5,64;0,99;28,43;20,16;21,21;0,01;0,02;0,71;0,29;4,39;0,12;14,97;24,47;10282420,16;8,07;2,3;4724051047,24;32;2,0;13,0;Tecidos. Vestuário e Calçados;Calçados;Consumo Cíclico
216;GRUPO CASAS BAHIA S.A.;VVAR11;14,58;-0,78;;0,31;-8,3;0,04;-47,57;28,99;-0,55;-5,91;0,05;-0,29;-0,07;0,94;-40,32;-5,54;-11,42;1,58;-41,99;0,14;0,86;0,74;0,0;3,76;;;46,63;-18,8;932766496,11;20;2,0;8,0;Comércio;Eletrodomésticos;Consumo Cíclico
